iter	Passed	Remaining
241	12576	39392
242	12616	39303
243	12660	39227
244	12705	39155
245	12749	39077
246	12790	38992
247	12833	38913
248	12883	38857
249	12928	38784
250	12969	38700
251	13017	38638
252	13081	38623
253	13135	38578
254	13181	38512
255	13227	38443
256	13282	38399
257	13325	38322
258	13377	38274
259	13425	38211
260	13479	38166
261	13534	38124
262	13608	38134
263	13664	38095
264	13706	38017
265	13752	37947
266	13794	37869
267	13833	37784
268	13878	37713
269	13914	37621
270	13957	37545
271	14000	37470
272	14047	37407
273	14112	37393
274	14179	37381
275	14220	37303
276	14260	37221
277	14303	37146
278	14344	37069
279	14390	37004
280	14432	36929
281	14474	36853
282	14514	36773
283	14557	36700
284	14626	36695
285	14710	36724
286	14775	36707
287	14829	36662
288	14884	36619
289	14934	36564
290	14994	36533
291	15059	36514
292	15122	36491
293	15208	36521
294	15279	36515
295	15350	36508
296	15397	36445
297	15468	36439
298	15520	36387
299	15566	36321
300	15609	36248
301	15650	36172
302	15693	36100
303	15752	36065
304	15843	36103
305	15951	36178
306	16013	36148
307	16086	36141
308	16168	36156
309	16218	36099
310	16266	36037
311	16315	35978
312	16366	35923
313	16400	35831
314	16431	35731
315	16459	35628
316	16486	35521
317	16518	35426
318	16551	35333
319	16585	35243
320	16612	35140
321	16640	35037
322	16667	34934
323	16696	34836
324	16724	34734
325	16752	34635
326	16802	34581
327	16853	34529
328	16905	34478
329	16964	34443
330	17018	34397
331	17084	34375
332	17127	34305
333	17168	34233
334	17201	34145
335	17232	34054
336	17264	33964
337	17295	33873
338	17328	33787
339	17363	33704
340	17394	33615
341	17429	33533
342	17465	33453
343	17500	33372
344	17539	33299
345	17574	33219
346	17605	33130
347	17636	33043
348	17669	32349	349	17698	32350	17758	32834
351	17809	32785
352	17868	32751
353	17924	3354	1354	17984	3355	1355	18037	32630
356	18078	3357	1357	18126	3358	1358	18181	32463
359	18231	32411
360	18273	32345
361	18312	32273
362	18357	32214
363	18406	32161
364	18452	32101
365	18502	32050
366	18551	31997
367	18607	31955
368	18671	31929
369	18715	31867
370	18764	31813
371	18821	31773
372	18885	31746
373	18961	31737
374	19004	31674
375	19042	31603
376	19094	31554
377	19160	31527
378	19213	31481
379	19265	31432
380	19302	31359
381	19351	31306
382	19406	31262
383	19446	31195
384	19492	31137
385	19548	31095
386	19602	31050
387	19661	31011
388	19725	30982
389	19792	30957
390	19839	30901
391	19890	30850
392	19922	3393	2393	19958	3394	20145	30856
395	20191	30797
396	20230	30727
397	20276	30669
398	20324	30613
399	20372	30558
400	20435	30525
401	20497	30491
402	20558	30455
403	20600	30391
404	20638	30321
405	20684	30262
406	20728	30200
407	20771	30139
408	20813	30075
409	20858	30016
410	20900	29952
411	20943	29890
412	20995	29840
413	21052	29799
414	21107	29754
415	21157	29701
416	21197	29636
417	21246	29582
418	21288	29518
419	21325	29449
420	21368	29387
421	21408	29322
422	21454	29265
423	21490	29194
424	21539	29141
425	21597	29100
426	21651	29055
427	21699	29000
428	21738	28934
429	21782	28874
430	21825	28813
431	21865	28748
432	21909	28690
433	21952	28629
434	21998	28572
435	22047	28520
436	22103	28476
437	22165	28440
438	22216	28390
439	22263	28335
440	22308	28277
441	22349	28215
442	22391	28154
443	22436	28095
444	22476	28032
445	22518	27971
446	22574	27927
447	22630	27884
448	22678	27830
449	22719	27767
450	22754	27698
451	22797	27639
452	22837	27576
453	22883	27520
454	22935	27471
455	22975	27409
456	23022	27354
457	23072	27304
458	23136	27269
459	23198	27233
460	23245	27179
461	23292	27124
462	23336	27065
463	23378	27005
464	23419	26944
465	23463	26887
466	23509	26832
467	23549	26770
468	23595	26714
469	23651	26670
470	23695	26613
471	23749	26567
472	23796	26513
473	23833	26448
474	23880	26393
475	23921	26334
476	23962	26273
477	24002	26211
478	24045	26153
479	24101	26109
480	24161	26069
481	24221	26030
482	24266	25974
483	24309	25917
484	24353	25859
485	24384	25789
486	24426	25730
487	24471	25675
488	24512	25615
489	24549	25551
490	24617	25519
491	24663	25465
492	24736	25439
493	24815	25418
494	24881	25384
495	24944	25347
496	25069	25372
497	25102	25304
498	25126	25226
499	25175	25175
500	25295	25194
501	25331	25130
502	25370	25067
503	25412	25008
504	25449	24945
505	25487	24882
506	25522	24818
507	25561	24756
508	25602	24696
509	25691	24684
510	25752	24644
511	25806	24597
512	25870	24559
513	25926	24513
514	25988	24474
515	26060	24444
516	26164	24443
517	26260	24435
518	26325	24398
519	26372	24344
520	26423	24293
521	26482	24250
522	26539	24205
523	26583	24148
524	26639	24102
525	26693	24054
526	26757	24015
527	26811	23968
528	26869	23923
529	26924	23876
530	26971	23822
531	27028	23776
532	27080	23727
533	27126	23671
534	27177	23621
535	27238	23579
536	27291	23530
537	27351	23488
538	27417	23449
539	27478	23407
540	27549	23373
541	27615	23335
542	27661	23280
543	27703	23222
544	27752	23169
545	27799	23115
546	27849	23063
547	27896	23009
548	27950	22960
549	28012	22919
550	28091	22891
551	28148	22845
552	28223	22813
553	28282	22768
554	28335	22719
555	28375	22659
556	28429	22610
557	28471	22552
558	28520	22500
559	28574	22451
560	28621	22397
561	28676	22348
562	28755	22319
563	28823	22281
564	28889	22242
565	28950	22198
566	28998	22145
567	29047	22092
568	29102	22044
569	29149	21989
570	29203	21940
571	29258	21892
572	29311	21842
573	29363	21792
574	29422	21747
575	29500	21715
576	29573	21680
577	29630	21633
578	29695	21591
579	29737	21533
580	29794	21487
581	29848	21437
582	29906	21390
583	29972	21349
584	30041	21311
585	30113	21274
586	30173	21229
587	30223	21177
588	30273	21124
589	30320	21070
590	30371	21018
591	30430	20972
592	30471	20913
593	30513	20856
594	30571	20809
595	30635	20766
596	30700	20724
597	30775	20688
598	30838	20644
599	30891	20594
600	30937	20539
601	30989	20488
602	31044	20439
603	31103	20392
604	31161	20344
605	31207	20290
606	31275	20249
607	31346	20210
608	31405	20163
609	31461	20114
610	31516	20065
611	31565	20012
612	31621	19963
613	31669	19909
614	31728	19862
615	31777	19809
616	31836	19762
617	31906	19722
618	31959	19671
619	32005	19616
620	32052	19561
621	32104	19510
622	32159	19460
623	32210	19408
624	32265	19359
625	32314	19306
626	32374	19259
627	32443	19217
628	32491	19164
629	32544	19113
630	32598	19063
631	32648	19010
632	32703	18960
633	32751	18906
634	32801	18854
635	32862	18807
636	32925	18763
637	32987	18716
638	33054	18674
639	33110	18624
640	33157	18570
641	33203	18515
642	33253	18462
643	33296	18406
644	33336	18348
645	33377	18290
646	33438	18243
647	33514	18205
648	33582	18162
649	33641	18114
650	33694	18063
651	33737	18007
652	33789	17955
653	33838	17902
654	33883	17847
655	33927	17791
656	33979	17739
657	34024	17684
658	34076	17632
659	34164	17599
660	34272	17576
661	34342	17534
662	34394	17482
663	34439	17427
664	34486	17372
665	34541	17322
666	34589	17268
667	34630	17211
668	34685	17161
669	34757	17119
670	34806	17065
671	34858	17014
672	34906	16960
673	34955	16907
674	35006	16854
675	35059	16803
676	35116	16754
677	35173	16704
678	35234	16657
679	35303	16613
680	35380	16573
681	35432	16521
682	35484	16469
683	35530	16414
684	35574	16359
685	35618	16303
686	35668	16250
687	35724	16200
688	35778	16149
689	35843	16103
690	35894	16051
691	35946	15999
692	35993	15945
693	36044	15893
694	36094	15839
695	36137	15784
696	36184	15730
697	36248	15683
698	36283	15624
699	36326	15568
700	36370	15513
701	36417	15459
702	36473	15409
703	36521	15355
704	36569	15302
705	36617	15248
706	36665	15195
707	36707	15139
708	36759	15087
709	36829	15043
710	36893	14995
711	36937	14940
712	36986	14887
713	37044	14838
714	37087	14783
715	37128	14726
716	37174	14672
717	37224	14620
718	37267	14564
719	37322	14514
720	37383	14465
721	37433	14413
722	37479	14359
723	37524	14305
724	37572	14251
725	37621	14198
726	37679	14149
727	37717	14092
728	37762	14037
729	37830	13992
730	37896	13945
731	37968	13901
732	38016	13847
733	38053	13790
734	38091	13733
735	38130	13677
736	38176	13623
737	38217	13567
738	38266	13515
739	38323	13464
740	38386	13417
741	38445	13368
742	38487	13312
743	38522	13255
744	38565	13200
745	38617	13148
746	38657	13092
747	38700	13038
748	38745	12984
749	38788	12929
750	38856	12883
751	38923	12836
752	38979	12786
753	39029	12733
754	39094	12686
755	39143	12633
756	39193	12581
757	39238	12527
758	39278	12471
759	39318	12416
760	39355	12360
761	39389	12302
762	39420	12244
763	39456	12188
764	39495	12132
765	39540	12078
766	39573	12021
767	39605	11964
768	39645	11909
769	39681	11852
770	39721	11798
771	39761	11742
772	39811	11690
773	39859	11638
774	39922	11590
775	39976	11539
776	40044	11492
777	40094	11440
778	40137	11386
779	40185	11334
780	40230	11280
781	40266	11225
782	40312	11172
783	40351	11117
784	40401	11065
785	40455	11014
786	40510	10964
787	40558	10911
788	40610	10860
789	40673	10811
790	40715	10757
791	40762	10705
792	40805	10651
793	40850	10598
794	40897	10546
795	40949	10494
796	41007	10444
797	41061	10394
798	41119	10344
799	41171	10292
800	41235	10244
801	41311	10199
802	41348	10143
803	41383	10088
804	41424	10034
805	41463	9980
806	41502	99807807	41553	98808808	41601	98809809	41646	97810810	41692	97811811	41735	96812812	41777	96813813	41819	95814814	41865	95815815	41913	94816816	41968	94817817	42006	93818818	42053	92819819	42093	92820820	42149	91821821	42205	91822822	42275	90823823	42338	90824824	42387	89825825	42439	89826826	42490	88827827	42540	8836
828	42589	8784
829	42634	87830830	42682	86831831	42719	86832832	42770	85833833	42845	85834834	42905	8478
835	42958	8427
836	43007	8375
837	43052	8322
838	43095	8269
839	43138	82840840	43181	81841841	43230	81842842	43270	80843843	43313	80844	43189	7922
845	43250	7873
846	43306	7822
847	43352	7770
848	43401	7719
849	43448	7667
850850	43682	76851	43550	7565
852	43602	7514
853853	43826	74854854	43883	74855855	43929	73856856	43990	73857857	44043	72858858	44096	72859859	44137	71860860	44186	71861861	44226	70862862	44272	70863863	44318	69864864	44366	69865865	44418	68866866	44485	68867	44348	6744
868	44390	6691
869	44436	6639
870	44475	6587
871	44529	6536
872	44579	6485
873	44636	6434
874	44696	6385
875	44773	6337
876	44837	6288
877	44891	6237
878	44938	6186
879	44986	6134
880	45029	6082
881	45076	6030
882	45117	5978
883	45158	5925
884	45206	5874
885	45248	5822
886	45317	5773
887	45376	5723
888	45430	5672
889	45480	5621
890	45525	5569
891	45571	5517
892	45628	5467
893	45674	5415
894	45721	5363
895	45769	5312
896	45843	5264
897	45906	5214
898	45943	5161
899	45990	5110
900	46039	5058
901	46086	5007
902	46127	4955
903	46187	4904
904	46236	4853
905	46296	4803
906	46350	4752
907	46415	4702
908	46461	4651
909	46506	4599
910	46545	4547
911	46590	4495
912	46626	4443
913	46674	4391
914	46717	4339
915	46767	4288
916	46810	4236
917	46872	4186
918	46938	4137
919	46995	4086
920	47057	4036
921	47104	3984
922	47160	3934
923	47198	3882
924	47259	3831
925	47299	3779
926	47363	3729
927	47421	3679
928	47486	3629
929	47547	3578
930	47598	3527
931	47648	3476
932	47691	3424
933	47733	3373
934	47780	3321
935	47833	3270
936	47889	3219
937	47937	3168
938	47994	3117
939	48057	3067
940	48115	3016
941	48175	2966
942	48240	2915
943	48288	2864
944	48337	2813
945	48387	2762
946	48432	2710
947	48479	2659
948	48523	2607
949	48573	2556
950	48612	2504
951	48660	2453
952	48709	2402
953	48767	2351
954	48810	2299
955	48842	2247
956	48890	2196
957	48920	2144
958	48954	2092
959	48988	2041
960	49019	1989
961	49044	1937
962	49080	1885
963	49115	1834
964	49149	1782
965	49182	1731
966	49211	1679
967	49244	1627
968	49274	1576
969	49312	1525
970	49350	1473
971	49382	1422
972	49413	1371
973	49445	1319
974	49472	1268
975	49501	1217
976	49523	1165
977	49550	1114
978	49574	1063
979	49603	1012
980	49648	961
981981	49893	9982	49742	860
983	49785	809
984	49819	758
985	49885	708
986	49916	657
987	49954	606
988	49986	555
989	50016	505
990	50041	454
991991	50275	4992992	50303	3993993	50325	3994994	50353	2995995	50377	2996996	50410	1997	50260	100
998998	50518	999999	50550	0
0
